doc_id,title,url,download_date,effective_date,filename
R001,Reglamento Académico 2024,https://www.ufro.cl/wp-content/uploads/2024/09/REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf,2025-09-28,2024-03-01,REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf
C001,Calendario Académico 2025,https://www.ufro.cl/calendario-academico/,2025-09-28,2024-03-01,ReglamentodeRegimendeEstudios__2023_.pdf
